sub-tool?,,,,,,
pkgname,,,,,toolname,prettyname
,,"all: sh -c ""*"", -1: ls -l, 1: toolname, 2: toolname -h, 3: toolname --help",,,,
desktop file,package,desktop file,,,menu name,pkgbuild desc
toolname,pkgname,exec,term,cat,prettyname,description
csrftester,,java -classpath ./lib/concurrent.jar:OWASP-CSRFTester-1.0.jar org.owasp.csrftester.CSRFTester,0,bt4,CSRF Tester,
cupp,,1,1,bt4,Common User Passwords Profiler,
curl,,3,1,bt4,,
dbpwaudit,,1,1,bt4,,
dcfldd,,3,1,bt4,,
dd-rescue,,2,1,bt4,,
decrypt,,1,1,bt4,,
dffscanner,,-1,1,bt4,,
dharmaencoder,,1,0,bt4,DharmaEncoder,
dirbuster,,2,1,bt4,,
dkftpbench,,1,1,bt4,,
dmitry,,1,1,bt4,,
dns2tcpd,,2,1,bt4,,
dns-bruteforce,,1,1,bt4,DNSBruteforce,
dnsenum,,1,1,bt4,,
dnsmap,,1,1,bt4,,
dnsmap-bulk,,1,1,bt4,,
dnsrecon,,1,1,bt4,,
dnstracer,,1,1,bt4,,
dnswalk,,1,1,bt4,,
dradis-client,dradis,2,1,bt4,Dradis Client,
dradis-server,dradis,3,1,bt4,Dradis Server,
dragon,,1,1,bt4,,
driftnet,,2,1,bt4,,
dsniff,,2,1,bt4,,
easside-ng,,1,1,bt4,,
edb,,1,0,bt4,Evan's Debugger,
enumiax,,1,1,bt4,,
erase_registrations,eraseregistrations,1,1,bt4,,
etherape,,1,0,bt4,,
ettercap-gtk,ettercap,ettercap -G,0,bt4,,
ettercap,,ettercap -C,1,bt4,,
exiftool,,1,1,bt4,,
exploitdb-update?,exploitdb,1,1,bt4,,
exploitdb,,-1,1,bt4,,
fakeap,,1,1,bt4,,
ftgui,fasttrack,1,0,bt4,Fast-Track GUI,
interactive,fasttrack,python fast-track.py -i,1,bt4,Fast-Track Interactive,
fasttrack,,1,1,bt4,Fast-Track CLI,
fatback,,2,1,bt4,,
ferret,,1,1,bt4,,
fierce,,2,1,bt4,,
fimap,,1,1,bt4,,
firefox,,,,bt4,,
flare,,1,1,bt4,,
flasm,,1,1,bt4,,
foremost,,2,1,bt4,,
fping,,2,1,bt4,,
fuzzgrind-gui,fuzzgrind,python fuzz/gui.py,0,bt4,,
fuzzgrind,,python fuzz/fuzz.py,1,bt4,,
g711conversions,,,,bt4,,
galleta,,2,1,bt4,,
gdb,,3,1,bt4,GNU Debugger,
gencases,,1,1,bt4,,
genlist,,1,1,bt4,,
gerix-ng,,1,0,bt4,Gerix-Wifi-Cracker-NG,
ghettotooth,,1,1,bt4,,
giskismet,,1,1,bt4,,
googmail,,1,1,bt4,,
goohost,,1,1,bt4,,
goorecon,,1,1,bt4,,
gooscan,,1,1,bt4,,
xgps,gpsd,1,1,bt4,,
gpsmap-expedia,,1,1,bt4,,
grabber,,2,1,bt4,,
greenplaque,,2,1,bt4,,
grendelscan,,1,0,bt4,,
grimwepa,,1,0,bt4,GrimWepa,
hacklibrary,,,,bt4,,
hamster,,1,1,bt4,,
hashcat,,3,1,bt4,,
hcidump,,3,1,bt4,,
hcraft,,1,1,bt4,,
